,ClassNumber,ClassLetter,Subgroup,LessonName,TeacherID,Week,Weekday,StartHour,StartMinute,EndHour,EndMinute,Room,Required,Teacher
66,11,а,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,9,30,10,10,11,True,Некто
67,11,а,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,9,30,10,10,11,True,Некто
68,11,б,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,9,30,10,10,13,True,Некто
69,11,б,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,9,30,10,10,15,True,Некто
70,11,в,англ. Татьяна Петровна,английский язык,1,0,0,9,30,10,10,8,True,Некто
71,11,в,англ. Светлана Николаевна,английский язык,1,0,0,9,30,10,10,9,True,Некто
72,8,а,англ. Татьяна Петровна,история,1,0,0,10,30,11,10,6,True,Некто
73,8,а,англ. Светлана Николаевна,история,1,0,0,10,30,11,10,6,True,Некто
74,8,б,англ. Татьяна Петровна,биология,1,0,0,10,30,11,10,2,True,Некто
75,8,б,англ. Светлана Николаевна,биология,1,0,0,10,30,11,10,2,True,Некто
76,8,в,англ. Татьяна Петровна,физика,1,0,0,10,30,11,10,14,True,Некто
77,8,в,англ. Светлана Николаевна,физика,1,0,0,10,30,11,10,14,True,Некто
78,9,а,англ. Татьяна Петровна,литература,1,0,0,10,30,11,10,4,True,Некто
79,9,а,англ. Светлана Николаевна,литература,1,0,0,10,30,11,10,4,True,Некто
80,9,б,англ. Татьяна Петровна,литература,1,0,0,10,30,11,10,5,True,Некто
81,9,б,англ. Светлана Николаевна,литература,1,0,0,10,30,11,10,5,True,Некто
82,9,в,англ. Татьяна Петровна,география,1,0,0,10,30,11,10,7,True,Некто
83,9,в,англ. Светлана Николаевна,география,1,0,0,10,30,11,10,7,True,Некто
84,10,а,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,10,30,11,10,13,True,Некто
85,10,а,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,10,30,11,10,15,True,Некто
86,10,б,англ. Татьяна Петровна,физическая культура,1,0,0,10,30,11,10,,True,Некто
87,10,б,англ. Светлана Николаевна,физическая культура,1,0,0,10,30,11,10,,True,Некто
88,10,в,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,10,30,11,10,10,True,Некто
89,10,в,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,10,30,11,10,10,True,Некто
90,11,а,англ. Татьяна Петровна,английский язык,1,0,0,10,30,11,10,8,True,Некто
91,11,а,англ. Светлана Николаевна,английский язык,1,0,0,10,30,11,10,9,True,Некто
92,11,б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,10,30,11,10,11,True,Некто
93,11,б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,10,30,11,10,11,True,Некто
94,11,в,англ. Татьяна Петровна,литература,1,0,0,10,30,11,10,12,True,Некто
95,11,в,англ. Светлана Николаевна,литература,1,0,0,10,30,11,10,12,True,Некто
96,8,а,англ. Татьяна Петровна,история,1,0,0,11,25,12,05,6,True,Некто
97,8,а,англ. Светлана Николаевна,история,1,0,0,11,25,12,05,6,True,Некто
98,8,б,англ. Татьяна Петровна,биология,1,0,0,11,25,12,05,2,True,Некто
99,8,б,англ. Светлана Николаевна,биология,1,0,0,11,25,12,05,2,True,Некто
100,8,в,англ. Татьяна Петровна,физика,1,0,0,11,25,12,05,14,True,Некто
101,8,в,англ. Светлана Николаевна,физика,1,0,0,11,25,12,05,14,True,Некто
102,9,а,англ. Татьяна Петровна,литература,1,0,0,11,25,12,05,4,True,Некто
103,9,а,англ. Светлана Николаевна,литература,1,0,0,11,25,12,05,4,True,Некто
104,9,б,англ. Татьяна Петровна,литература,1,0,0,11,25,12,05,5,True,Некто
105,9,б,англ. Светлана Николаевна,литература,1,0,0,11,25,12,05,5,True,Некто
106,9,в,англ. Татьяна Петровна,география,1,0,0,11,25,12,05,7,True,Некто
107,9,в,англ. Светлана Николаевна,география,1,0,0,11,25,12,05,7,True,Некто
108,10,а,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,11,25,12,05,13,True,Некто
109,10,а,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,11,25,12,05,15,True,Некто
110,10,б,англ. Татьяна Петровна,физическая культура,1,0,0,11,25,12,05,,True,Некто
111,10,б,англ. Светлана Николаевна,физическая культура,1,0,0,11,25,12,05,,True,Некто
112,10,в,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,11,25,12,05,10,True,Некто
113,10,в,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,11,25,12,05,10,True,Некто
114,11,а,англ. Татьяна Петровна,английский язык,1,0,0,11,25,12,05,8,True,Некто
115,11,а,англ. Светлана Николаевна,английский язык,1,0,0,11,25,12,05,9,True,Некто
116,11,б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,11,25,12,05,11,True,Некто
117,11,б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,11,25,12,05,11,True,Некто
118,11,в,англ. Татьяна Петровна,литература,1,0,0,11,25,12,05,12,True,Некто
119,11,в,англ. Светлана Николаевна,литература,1,0,0,11,25,12,05,12,True,Некто
120,8,а,англ. Татьяна Петровна,алгебра,1,0,0,12,15,12,55,11,True,Некто
121,8,а,англ. Светлана Николаевна,алгебра,1,0,0,12,15,12,55,11,True,Некто
122,8,б,англ. Татьяна Петровна,физика,1,0,0,12,15,12,55,14,True,Некто
123,8,б,англ. Светлана Николаевна,физика,1,0,0,12,15,12,55,14,True,Некто
124,8,в,англ. Татьяна Петровна,история,1,0,0,12,15,12,55,6,True,Некто
125,8,в,англ. Светлана Николаевна,история,1,0,0,12,15,12,55,6,True,Некто
126,9,а,англ. Татьяна Петровна,география,1,0,0,12,15,12,55,7,True,Некто
127,9,а,англ. Светлана Николаевна,география,1,0,0,12,15,12,55,7,True,Некто
128,9,б,англ. Татьяна Петровна,биология,1,0,0,12,15,12,55,2,True,Некто
129,9,б,англ. Светлана Николаевна,биология,1,0,0,12,15,12,55,2,True,Некто
130,9,в,англ. Татьяна Петровна,литература,1,0,0,12,15,12,55,5,True,Некто
131,9,в,англ. Светлана Николаевна,литература,1,0,0,12,15,12,55,5,True,Некто
132,10,а,англ. Татьяна Петровна,литература,1,0,0,12,15,12,55,12,True,Некто
133,10,а,англ. Светлана Николаевна,литература,1,0,0,12,15,12,55,12,True,Некто
134,10,б,англ. Татьяна Петровна,литература,1,0,0,12,15,12,55,4,True,Некто
135,10,б,англ. Светлана Николаевна,литература,1,0,0,12,15,12,55,4,True,Некто
136,10,в,англ. Татьяна Петровна,физическая культура,1,0,0,12,15,12,55,,True,Некто
137,10,в,англ. Светлана Николаевна,физическая культура,1,0,0,12,15,12,55,,True,Некто
138,11,а,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,12,15,12,55,13,True,Некто
139,11,а,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,12,15,12,55,15,True,Некто
140,11,б,англ. Татьяна Петровна,английский язык,1,0,0,12,15,12,55,8,True,Некто
141,11,б,англ. Светлана Николаевна,английский язык,1,0,0,12,15,12,55,9,True,Некто
142,11,в,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,12,15,12,55,10,True,Некто
143,11,в,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,12,15,12,55,10,True,Некто
144,8,а,англ. Татьяна Петровна,алгебра,1,0,0,13,05,13,45,11,True,Некто
145,8,а,англ. Светлана Николаевна,алгебра,1,0,0,13,05,13,45,11,True,Некто
146,8,б,англ. Татьяна Петровна,физика,1,0,0,13,05,13,45,14,True,Некто
147,8,б,англ. Светлана Николаевна,физика,1,0,0,13,05,13,45,14,True,Некто
148,8,в,англ. Татьяна Петровна,история,1,0,0,13,05,13,45,6,True,Некто
149,8,в,англ. Светлана Николаевна,история,1,0,0,13,05,13,45,6,True,Некто
150,9,а,англ. Татьяна Петровна,география,1,0,0,13,05,13,45,7,True,Некто
151,9,а,англ. Светлана Николаевна,география,1,0,0,13,05,13,45,7,True,Некто
152,9,б,англ. Татьяна Петровна,биология,1,0,0,13,05,13,45,2,True,Некто
153,9,б,англ. Светлана Николаевна,биология,1,0,0,13,05,13,45,2,True,Некто
154,9,в,англ. Татьяна Петровна,литература,1,0,0,13,05,13,45,5,True,Некто
155,9,в,англ. Светлана Николаевна,литература,1,0,0,13,05,13,45,5,True,Некто
156,10,а,англ. Татьяна Петровна,литература,1,0,0,13,05,13,45,12,True,Некто
157,10,а,англ. Светлана Николаевна,литература,1,0,0,13,05,13,45,12,True,Некто
158,10,б,англ. Татьяна Петровна,литература,1,0,0,13,05,13,45,4,True,Некто
159,10,б,англ. Светлана Николаевна,литература,1,0,0,13,05,13,45,4,True,Некто
160,10,в,англ. Татьяна Петровна,физическая культура,1,0,0,13,05,13,45,,True,Некто
161,10,в,англ. Светлана Николаевна,физическая культура,1,0,0,13,05,13,45,,True,Некто
162,11,а,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,13,05,13,45,13,True,Некто
163,11,а,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,13,05,13,45,15,True,Некто
164,11,б,англ. Татьяна Петровна,английский язык,1,0,0,13,05,13,45,8,True,Некто
165,11,б,англ. Светлана Николаевна,английский язык,1,0,0,13,05,13,45,9,True,Некто
166,11,в,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,13,05,13,45,10,True,Некто
167,11,в,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,13,05,13,45,10,True,Некто
168,11,в,англ. Татьяна Петровна,физическая культура,1,0,0,13,55,14,35,,True,Некто
169,11,в,англ. Светлана Николаевна,физическая культура,1,0,0,13,55,14,35,,True,Некто
170,11,в,англ. Татьяна Петровна,физическая культура,1,0,0,14,40,15,20,,True,Некто
171,11,в,англ. Светлана Николаевна,физическая культура,1,0,0,14,40,15,20,,True,Некто
172,8,а,англ. Татьяна Петровна,ИЗО,1,0,1,8,00,8,40,4,True,Некто
173,8,а,англ. Светлана Николаевна,ИЗО,1,0,1,8,00,8,40,4,True,Некто
174,8,б,англ. Татьяна Петровна,физическая культура,1,0,1,8,00,8,40,,True,Некто
175,8,б,англ. Светлана Николаевна,физическая культура,1,0,1,8,00,8,40,,True,Некто
176,8,в,англ. Татьяна Петровна,информатика и информационные технологии,1,0,1,8,00,8,40,13,True,Некто
177,8,в,англ. Светлана Николаевна,информатика и информационные технологии,1,0,1,8,00,8,40,15,True,Некто
178,9,а,англ. Татьяна Петровна,алгебра,1,0,1,8,00,8,40,11,True,Некто
179,9,а,англ. Светлана Николаевна,алгебра,1,0,1,8,00,8,40,11,True,Некто
180,9,б,англ. Татьяна Петровна,химия,1,0,1,8,00,8,40,2,True,Некто
181,9,б,англ. Светлана Николаевна,химия,1,0,1,8,00,8,40,2,True,Некто
182,9,в,англ. Татьяна Петровна,русский язык,1,0,1,8,00,8,40,5,True,Некто
183,9,в,англ. Светлана Николаевна,русский язык,1,0,1,8,00,8,40,5,True,Некто
184,10,а,англ. Татьяна Петровна,астрономия,1,0,1,8,00,8,40,7,True,Некто
185,10,а,англ. Светлана Николаевна,астрономия,1,0,1,8,00,8,40,7,True,Некто
186,10,б,англ. Татьяна Петровна,геометрия,1,0,1,8,00,8,40,10,True,Некто
187,10,б,англ. Светлана Николаевна,геометрия,1,0,1,8,00,8,40,10,True,Некто
188,10,в,англ. Татьяна Петровна,английский язык,1,0,1,8,00,8,40,8,True,Некто
189,10,в,англ. Светлана Николаевна,английский язык,1,0,1,8,00,8,40,9,True,Некто
190,11,а,англ. Татьяна Петровна,литература,1,0,1,8,00,8,40,12,True,Некто
191,11,а,англ. Светлана Николаевна,литература,1,0,1,8,00,8,40,12,True,Некто
192,11,б,англ. Татьяна Петровна,физика,1,0,1,8,00,8,40,14,True,Некто
193,11,б,англ. Светлана Николаевна,физика,1,0,1,8,00,8,40,14,True,Некто
194,11,в,англ. Татьяна Петровна,психология,1,0,1,8,00,8,40,,True,Некто
195,11,в,англ. Светлана Николаевна,психология,1,0,1,8,00,8,40,,True,Некто
196,8,а,англ. Татьяна Петровна,ИЗО,1,0,1,8,50,9,30,4,True,Некто
197,8,а,англ. Светлана Николаевна,ИЗО,1,0,1,8,50,9,30,4,True,Некто
198,8,б,англ. Татьяна Петровна,физическая культура,1,0,1,8,50,9,30,,True,Некто
199,8,б,англ. Светлана Николаевна,физическая культура,1,0,1,8,50,9,30,,True,Некто
200,8,в,англ. Татьяна Петровна,информатика и информационные технологии,1,0,1,8,50,9,30,13,True,Некто
201,8,в,англ. Светлана Николаевна,информатика и информационные технологии,1,0,1,8,50,9,30,15,True,Некто
202,9,а,англ. Татьяна Петровна,алгебра,1,0,1,8,50,9,30,11,True,Некто
203,9,а,англ. Светлана Николаевна,алгебра,1,0,1,8,50,9,30,11,True,Некто
204,9,б,англ. Татьяна Петровна,химия,1,0,1,8,50,9,30,2,True,Некто
205,9,б,англ. Светлана Николаевна,химия,1,0,1,8,50,9,30,2,True,Некто
206,9,в,англ. Татьяна Петровна,русский язык,1,0,1,8,50,9,30,5,True,Некто
207,9,в,англ. Светлана Николаевна,русский язык,1,0,1,8,50,9,30,5,True,Некто
208,10,а,англ. Татьяна Петровна,астрономия,1,0,1,8,50,9,30,7,True,Некто
209,10,а,англ. Светлана Николаевна,астрономия,1,0,1,8,50,9,30,7,True,Некто
210,10,б,англ. Татьяна Петровна,геометрия,1,0,1,8,50,9,30,10,True,Некто
211,10,б,англ. Светлана Николаевна,геометрия,1,0,1,8,50,9,30,10,True,Некто
212,10,в,англ. Татьяна Петровна,английский язык,1,0,1,8,50,9,30,8,True,Некто
213,10,в,англ. Светлана Николаевна,английский язык,1,0,1,8,50,9,30,9,True,Некто
214,11,а,англ. Татьяна Петровна,литература,1,0,1,8,50,9,30,12,True,Некто
215,11,а,англ. Светлана Николаевна,литература,1,0,1,8,50,9,30,12,True,Некто
216,11,б,англ. Татьяна Петровна,физика,1,0,1,8,50,9,30,14,True,Некто
217,11,б,англ. Светлана Николаевна,физика,1,0,1,8,50,9,30,14,True,Некто
218,11,в,англ. Татьяна Петровна,психология,1,0,1,8,50,9,30,,True,Некто
219,11,в,англ. Светлана Николаевна,психология,1,0,1,8,50,9,30,,True,Некто
220,8,а,англ. Татьяна Петровна,русский язык,1,0,1,9,45,10,25,5,True,Некто
221,8,а,англ. Светлана Николаевна,русский язык,1,0,1,9,45,10,25,5,True,Некто
222,8,б,англ. Татьяна Петровна,ИЗО,1,0,1,9,45,10,25,7,True,Некто
223,8,б,англ. Светлана Николаевна,ИЗО,1,0,1,9,45,10,25,7,True,Некто
224,8,в,англ. Татьяна Петровна,физическая культура,1,0,1,9,45,10,25,,True,Некто
225,8,в,англ. Светлана Николаевна,физическая культура,1,0,1,9,45,10,25,,True,Некто
226,9,а,англ. Татьяна Петровна,химия,1,0,1,9,45,10,25,2,True,Некто
227,9,а,англ. Светлана Николаевна,химия,1,0,1,9,45,10,25,2,True,Некто
