,ClassNumber,ClassLetter,Subgroup,LessonName,TeacherID,Week,Weekday,StartHour,StartMinute,EndHour,EndMinute,Room,Required,Teacher
66,11,Б,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,9,30,10,10,,True,
67,11,Б,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,9,30,10,10,,True,
68,11,В,англ. Татьяна Петровна,английский язык,1,0,0,8,35,9,15,8,True,
69,11,В,англ. Светлана Николаевна,английский язык,1,0,0,8,35,9,15,9,True,
70,11,В,англ. Татьяна Петровна,английский язык,1,0,0,9,30,10,10,,True,
71,11,В,англ. Светлана Николаевна,английский язык,1,0,0,9,30,10,10,,True,
72,8,А,англ. Татьяна Петровна,история,1,0,0,10,30,11,10,6,True,
73,8,А,англ. Светлана Николаевна,история,1,0,0,10,30,11,10,6,True,
74,8,А,англ. Татьяна Петровна,история,1,0,0,11,25,12,5,,True,
75,8,А,англ. Светлана Николаевна,история,1,0,0,11,25,12,5,,True,
76,8,Б,англ. Татьяна Петровна,биология,1,0,0,10,30,11,10,2,True,
77,8,Б,англ. Светлана Николаевна,биология,1,0,0,10,30,11,10,2,True,
78,8,Б,англ. Татьяна Петровна,биология,1,0,0,11,25,12,5,,True,
79,8,Б,англ. Светлана Николаевна,биология,1,0,0,11,25,12,5,,True,
80,8,В,англ. Татьяна Петровна,физика,1,0,0,10,30,11,10,14,True,
81,8,В,англ. Светлана Николаевна,физика,1,0,0,10,30,11,10,14,True,
82,8,В,англ. Татьяна Петровна,физика,1,0,0,11,25,12,5,,True,
83,8,В,англ. Светлана Николаевна,физика,1,0,0,11,25,12,5,,True,
84,9,А,англ. Татьяна Петровна,русский язык,1,0,0,10,30,11,10,4,True,
85,9,А,англ. Светлана Николаевна,русский язык,1,0,0,10,30,11,10,4,True,
86,9,А,англ. Татьяна Петровна,русский язык,1,0,0,11,25,12,5,,True,
87,9,А,англ. Светлана Николаевна,русский язык,1,0,0,11,25,12,5,,True,
88,9,Б,англ. Татьяна Петровна,русский язык,1,0,0,10,30,11,10,5,True,
89,9,Б,англ. Светлана Николаевна,русский язык,1,0,0,10,30,11,10,5,True,
90,9,Б,англ. Татьяна Петровна,русский язык,1,0,0,11,25,12,5,,True,
91,9,Б,англ. Светлана Николаевна,русский язык,1,0,0,11,25,12,5,,True,
92,9,В,англ. Татьяна Петровна,география,1,0,0,10,30,11,10,7,True,
93,9,В,англ. Светлана Николаевна,география,1,0,0,10,30,11,10,7,True,
94,9,В,англ. Татьяна Петровна,география,1,0,0,11,25,12,5,,True,
95,9,В,англ. Светлана Николаевна,география,1,0,0,11,25,12,5,,True,
96,10,А,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,10,30,11,10,13,True,
97,10,А,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,10,30,11,10,15,True,
98,10,А,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,11,25,12,5,,True,
99,10,А,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,11,25,12,5,,True,
100,10,Б,англ. Татьяна Петровна,физическая культура,1,0,0,10,30,11,10,,True,
101,10,Б,англ. Светлана Николаевна,физическая культура,1,0,0,10,30,11,10,,True,
102,10,Б,англ. Татьяна Петровна,физическая культура,1,0,0,11,25,12,5,,True,
103,10,Б,англ. Светлана Николаевна,физическая культура,1,0,0,11,25,12,5,,True,
104,10,В,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,10,30,11,10,10,True,
105,10,В,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,10,30,11,10,10,True,
106,10,В,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,11,25,12,5,,True,
107,10,В,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,11,25,12,5,,True,
108,11,А,англ. Татьяна Петровна,английский язык,1,0,0,10,30,11,10,8,True,
109,11,А,англ. Светлана Николаевна,английский язык,1,0,0,10,30,11,10,9,True,
110,11,А,англ. Татьяна Петровна,английский язык,1,0,0,11,25,12,5,,True,
111,11,А,англ. Светлана Николаевна,английский язык,1,0,0,11,25,12,5,,True,
112,11,Б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,10,30,11,10,11,True,
113,11,Б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,10,30,11,10,11,True,
114,11,Б,англ. Татьяна Петровна,алгебра и начала анализа,1,0,0,11,25,12,5,,True,
115,11,Б,англ. Светлана Николаевна,алгебра и начала анализа,1,0,0,11,25,12,5,,True,
116,11,В,англ. Татьяна Петровна,русский язык,1,0,0,10,30,11,10,12,True,
117,11,В,англ. Светлана Николаевна,русский язык,1,0,0,10,30,11,10,12,True,
118,11,В,англ. Татьяна Петровна,русский язык,1,0,0,11,25,12,5,,True,
119,11,В,англ. Светлана Николаевна,русский язык,1,0,0,11,25,12,5,,True,
120,8,А,англ. Татьяна Петровна,алгебра,1,0,0,12,15,12,55,11,True,
121,8,А,англ. Светлана Николаевна,алгебра,1,0,0,12,15,12,55,11,True,
122,8,А,англ. Татьяна Петровна,алгебра,1,0,0,13,5,13,45,,True,
123,8,А,англ. Светлана Николаевна,алгебра,1,0,0,13,5,13,45,,True,
124,8,Б,англ. Татьяна Петровна,физика,1,0,0,12,15,12,55,14,True,
125,8,Б,англ. Светлана Николаевна,физика,1,0,0,12,15,12,55,14,True,
126,8,Б,англ. Татьяна Петровна,физика,1,0,0,13,5,13,45,,True,
127,8,Б,англ. Светлана Николаевна,физика,1,0,0,13,5,13,45,,True,
128,8,В,англ. Татьяна Петровна,история,1,0,0,12,15,12,55,6,True,
129,8,В,англ. Светлана Николаевна,история,1,0,0,12,15,12,55,6,True,
130,8,В,англ. Татьяна Петровна,история,1,0,0,13,5,13,45,,True,
131,8,В,англ. Светлана Николаевна,история,1,0,0,13,5,13,45,,True,
132,9,А,англ. Татьяна Петровна,география,1,0,0,12,15,12,55,7,True,
133,9,А,англ. Светлана Николаевна,география,1,0,0,12,15,12,55,7,True,
134,9,А,англ. Татьяна Петровна,география,1,0,0,13,5,13,45,,True,
135,9,А,англ. Светлана Николаевна,география,1,0,0,13,5,13,45,,True,
136,9,Б,англ. Татьяна Петровна,биология,1,0,0,12,15,12,55,2,True,
137,9,Б,англ. Светлана Николаевна,биология,1,0,0,12,15,12,55,2,True,
138,9,Б,англ. Татьяна Петровна,биология,1,0,0,13,5,13,45,,True,
139,9,Б,англ. Светлана Николаевна,биология,1,0,0,13,5,13,45,,True,
140,9,В,англ. Татьяна Петровна,русский язык,1,0,0,12,15,12,55,5,True,
141,9,В,англ. Светлана Николаевна,русский язык,1,0,0,12,15,12,55,5,True,
142,9,В,англ. Татьяна Петровна,русский язык,1,0,0,13,5,13,45,,True,
143,9,В,англ. Светлана Николаевна,русский язык,1,0,0,13,5,13,45,,True,
144,10,А,англ. Татьяна Петровна,литература,1,0,0,12,15,12,55,12,True,
145,10,А,англ. Светлана Николаевна,литература,1,0,0,12,15,12,55,12,True,
146,10,А,англ. Татьяна Петровна,литература,1,0,0,13,5,13,45,,True,
147,10,А,англ. Светлана Николаевна,литература,1,0,0,13,5,13,45,,True,
148,10,Б,англ. Татьяна Петровна,литература,1,0,0,12,15,12,55,4,True,
149,10,Б,англ. Светлана Николаевна,литература,1,0,0,12,15,12,55,4,True,
150,10,Б,англ. Татьяна Петровна,литература,1,0,0,13,5,13,45,,True,
151,10,Б,англ. Светлана Николаевна,литература,1,0,0,13,5,13,45,,True,
152,10,В,англ. Татьяна Петровна,физическая культура,1,0,0,12,15,12,55,,True,
153,10,В,англ. Светлана Николаевна,физическая культура,1,0,0,12,15,12,55,,True,
154,10,В,англ. Татьяна Петровна,физическая культура,1,0,0,13,5,13,45,,True,
155,10,В,англ. Светлана Николаевна,физическая культура,1,0,0,13,5,13,45,,True,
156,11,А,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,12,15,12,55,13,True,
157,11,А,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,12,15,12,55,15,True,
158,11,А,англ. Татьяна Петровна,информатика и ИКТ,1,0,0,13,5,13,45,,True,
159,11,А,англ. Светлана Николаевна,информатика и ИКТ,1,0,0,13,5,13,45,,True,
160,11,Б,англ. Татьяна Петровна,английский язык,1,0,0,12,15,12,55,8,True,
161,11,Б,англ. Светлана Николаевна,английский язык,1,0,0,12,15,12,55,9,True,
162,11,Б,англ. Татьяна Петровна,английский язык,1,0,0,13,5,13,45,,True,
163,11,Б,англ. Светлана Николаевна,английский язык,1,0,0,13,5,13,45,,True,
164,11,В,англ. Татьяна Петровна,Игра с математическими объектами,1,0,0,12,15,12,55,10,False,
